"2","282","1","2","1","28","Furnizimi me vegla dhe mjete pune për nevoja të Adm.Komunale  dhe Inst.tjera që funksionojn në kuadër të Komunës-Ritenderim ","17.11.2015","19000","5980.5","0","NTP El trade ","","15","1","1"
"2","451","2","3","6","60","Bartja e nxënësve me aftësi të kuafizuara në relacionin Ferizaj-Prishtinë","23.11.2015","6000","5400","0","K.B. Xhaviti","","1","1","1"
"2","492","5","3","6","","Rregullimi me kubëza betoni e rr. Mujadin Aliu në Ferizaj","24.11.2015","7000","6954.29","0","NTP Metro park","","1","1","1"
"2","246","2","2","1","93","Studimi i fizibilitetit për Zonën ekonomike në fsh. Babush, Komuna Ferizaj- rit.2","24.11.2015","20000","7800","0","UBT University ","","1","1","1"
"1","511","5","3","6","45","Rregullimi i kanalizimit fekal në një rrugicë të fsh. Slivovë dhe një në rr. Sejdi Sejdiu në Ferizaj","24.11.2015","10000","9670.08","0","NT Rahovica commerce","","1","1","1"
"1","504","5","3","6","45","Rregullimi i kanalizimit të një rrugice në rr. Xhevë Lladrovci","24.11.2015","10000","9950.610000000001","0","NT Rahovica commerce","","1","1","1"
"2","454","2","3","6","93","Trajtimi i lopëve qumështore kundër endoparazitëve, Komuna Ferizaj- RIT.","24.11.2015","9000","8484","0","AV Agroni","","1","1","1"
"2","439","5","2","1","45","Ndërtimi i kanalizimit fekal në rr. Isa Boletini te ish Kombinati i drurit","30.11.2015","17000","14838","0","Konz: Pro & Co goup dhe Arlindi ShPK","","1","1","1"
"2","437","1","2","1","10","Furnizim me lëndë djegëse: Llot I- Dru zjarri ","04.12.2015","72000","134867.5","0","NTP Meti commerce","","1","1","1"
"2","437","1","2","1","10","Furnizim me lëndë djegëse: Llot II- Thëngjill ","30.11.2015","72000","37520","0","NTP Haxha ","","1","1","1"
